"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Israel,ISR,21.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Italy,ITA,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jamaica,JAM,21.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Japan,JPN,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jordan,JOR,30.821
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kazakhstan,KAZ,14.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kenya,KEN,38.668
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kiribati,KIR,27.806
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Dem. Rep.",PRK,17.414
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Rep.",KOR,11.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kosovo,KSV,21.74
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kuwait,KWT,23.147
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kyrgyz Republic,KGZ,19.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lao PDR,LAO,29.816
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latvia,LVA,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lebanon,LBN,17.631
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lesotho,LSO,30.83
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liberia,LBR,42.36
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Libya,LBY,22.426
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liechtenstein,LIE,12.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lithuania,LTU,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Luxembourg,LUX,12.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Macao SAR, China",MAC,8.476
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Macedonia, FYR",MKD,12.277
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Madagascar,MDG,40.375
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malawi,MWI,44.608
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malaysia,MYS,21.68
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Maldives,MDV,23.382
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mali,MLI,48.168
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malta,MLT,10.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Marshall Islands,MHL,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritania,MRT,37.873
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritius,MUS,16.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mexico,MEX,23.627
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Micronesia, Fed. Sts.",FSM,29.21
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Moldova,MDA,11.623
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Monaco,MCO,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mongolia,MNG,19.061
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Montenegro,MNE,13.231
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Morocco,MAR,21.464
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mozambique,MOZ,44.502
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Myanmar,MMR,20.424
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Namibia,NAM,31.116
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nepal,NPL,32.088
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Netherlands,NLD,12.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Caledonia,NCL,19.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Zealand,NZL,14.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nicaragua,NIC,27.19
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Niger,NER,52.743
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nigeria,NGA,42.833
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Northern Mariana Islands,MNP,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Norway,NOR,12.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Oman,OMN,23.144
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pakistan,PAK,30.205
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Palau,PLW,15.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Panama,PAN,23.606
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Papua New Guinea,PNG,34.551
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Paraguay,PRY,27.561
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Peru,PER,23.658
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Philippines,PHL,29.261
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Poland,POL,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Portugal,PRT,11
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Puerto Rico,PRI,14.59
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Qatar,QAT,18.876
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Romania,ROM,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Russian Federation,RUS,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Rwanda,RWA,40.238
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Samoa,WSM,30.269
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,San Marino,SMR,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sao Tome and Principe,STP,36.717
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Saudi Arabia,SAU,26.174
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Senegal,SEN,39.794
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Serbia,SRB,10.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Seychelles,SYC,17.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sierra Leone,SLE,43.546
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Singapore,SGP,11.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sint Maarten (Dutch part),SXM,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovak Republic,SVK,9.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovenia,SVN,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Solomon Islands,SLB,35.397
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Somalia,SOM,48.223
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Africa,ZAF,23.835
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Sudan,SSD,41.966
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Spain,ESP,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sri Lanka,LKA,18.49
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Kitts and Nevis,KNA,17.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Lucia,LCA,18.895
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Martin (French part),MAF,17
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Vincent and the Grenadines,VCT,19.39
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sudan,SDN,39.436
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Suriname,SUR,22.134
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Swaziland,SWZ,32.131
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sweden,SWE,10.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Switzerland,CHE,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Syrian Arab Republic,SYR,29.81
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tajikistan,TJK,29.864
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tanzania,TZA,41.716
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Thailand,THA,14.152
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Timor-Leste,TMP,41.288
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Togo,TGO,38.801
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tonga,TON,28.412
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Trinidad and Tobago,TTO,14.733
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tunisia,TUN,16.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkey,TUR,21.021
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkmenistan,TKM,23.351
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turks and Caicos Islands,TCA,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tuvalu,TUV,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uganda,UGA,48.015
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ukraine,UKR,7.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Arab Emirates,ARE,16.438
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Kingdom,GBR,11.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United States,USA,14.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uruguay,URY,16.205
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uzbekistan,UZB,20.5472325477457
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Vanuatu,VUT,31.842
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Venezuela, RB",VEN,23.282
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Vietnam,VNM,17.031
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Virgin Islands (U.S.),VIR,13.17
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,West Bank and Gaza,WBG,40.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Yemen, Rep.",YEM,38.592
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zambia,ZMB,45.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zimbabwe,ZWE,32.028
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Afghanistan,AFG,11.988
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Albania,ALB,5.677
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Algeria,DZA,5.26
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,American Samoa,ASM,
